category,CD
ARH,25.5455
HRH,7.3333
HRH,1.5556
HRH,2.0000
HRH,2.3750
ARH,6.7500
ARH,31.7500
ARH,4.0000
ARH,15.3750
ARH,3.6250
ARH,13.0000
HRH,1.7500
HRH,1.2667
HRH,4.1111
ARH,9.6667
ARH,11.1111
ARH,3.0000
HRH,10.4286
HRH,3.2500
HRH,14.5000
HRH,0.6667
HRH,4.0909
HRH,8.0000
HRH,2.2500
HRH,1.7778
HRH,1.2857
HRH,4.2500
HRH,2.3750
ARH,3.8889
ARH,4.0000
ARH,10.8889
HRH,4.4444
HRH,1.5000
HRH,4.2500
HRH,6.1111
HRH,6.0000
HRH,3.7778
HRH,4.4000
HRH,3.3333
HRH,4.3333
ARH,7.4444
HRH,3.3750
HRH,2.3333
HRH,2.8889
HRH,8.8889
HRH,1.0000
HRH,1.3333
ARH,5.0000
ARH,5.1667
HRH,11.4444
HRH,7.0000
HRH,0.8214
HRH,1.7778
HRH,0.4667
HRH,1.0000
HRH,1.0833
HRH,3.2222
HRH,2.4444
HRH,2.0000
HRH,5.4444
ARH,4.3333
ARH,8.8889
ARH,2.3000
ARH,4.3000
HRH,1.8889
HRH,0.3750
ARH,7.0000
ARH,5.3333
HRH,4.0000
HRH,0.8889
HRH,2.8889
HRH,1.7778
HRH,2.8750
HRH,1.6667
HRH,2.0000
HRH,2.5000
HRH,0.6250
HRH,1.7500
HRH,1.8750
HRH,3.7500
HRH,0.8750
HRH,3.5000
HRH,7.7778
HRH,3.3125
HRH,3.6667
HRH,3.0000
HRH,16.5556
HRH,5.0000
HRH,3.2222
HRH,4.1111
HRH,1.0000
HRH,1.5556
HRH,0.8889
HRH,3.5556
HRH,2.3750
HRH,1.1111
HRH,1.8889
HRH,1.8889
HRH,5.3750
HRH,4.2222
HRH,2.4444
HRH,1.2222
HRH,5.6667
HRH,2.6667
HRH,5.8889
HRH,0.2222
HRH,2.6667
HRH,2.8182
ARH,4.8889
ARH,4.5714
ARH,2.2222
ARH,4.8750
HRH,9.1111
HRH,6.8889
HRH,3.4000
HRH,7.6667
HRH,5.8000
HRA,5.5556
HRH,19.3750
HRH,5.2500
HRH,2.6000
HRH,0.4167
HRH,3.3750
HRH,5.4000
HRH,11.7500
HRH,0.1250
ARH,2.6250
HRH,2.6250
HRH,3.7692
HRH,0.8889
HRH,7.2143
HRH,7.3333
HRH,3.8889
HRH,4.1250
HRH,3.6667
HRH,3.6667
HRH,3.6667
HRH,4.1250
HRH,8.2500
ARH,2.8889
ARH,12.8889
ARH,5.6250
ARH,4.8889
HRA,0.5556
HRA,0.8889
HRA,8.5000
HRA,7.9000
HRA,4.4000
HRA,2.3333
HRA,8.8462
HRA,7.5556
HRA,3.0000
HRA,1.1818
HRA,0.2500
HRA,0.8182
HRA,3.3333
HRA,0.4167
HRA,6.1667
HRA,5.6250
HRA,4.6250
HRA,1.8667
HRA,4.1250
HRA,9.7500
HRA,8.1111
HRA,1.3750
HRA,2.4286
HRA,6.5000
HRA,6.6250
HRA,1.7500
HRA,1.3750
HRA,2.5556
HRA,2.2222
HRA,3.4444
HRA,2.6667
HRA,2.0000
HRA,1.7500
HRA,3.7778
HRA,3.2222
ARH,8.4000
ARH,9.3750
HRH,1.3333
HRH,3.7500
HRH,1.8889
HRH,0.3333
HRA,2.5556
HRA,9.4444
HRA,2.8889
HRA,4.2222
HRA,9.6250
HRA,5.5556
HRA,0.4444
HRA,0.4000
HRA,12.4444
HRA,1.0000
HRA,3.2500
HRA,23.1250
HRA,8.3750
HRA,3.7143
HRA,4.5000
HRA,15.6667
HRA,3.0000
HRA,3.6250
HRA,3.8750
HRA,5.0000
HRA,7.0000
HRH,0.7778
HRH,2.4444
HRH,2.3333
HRH,4.1111
HRH,1.8889
HRH,6.2222
HRH,1.2222
HRH,1.0000
HRH,2.1111
HRH,1.2222
HRH,0.4286
HRH,2.0000
HRH,1.3333
HRH,2.4286
HRH,2.4444
ARH,9.6667
ARH,4.8889
ARH,11.8000
ARH,8.5556
ARH,9.1111
HRH,2.8889
ARH,9.1111
ARH,7.7778
ARH,5.0000
ARH,3.6667
ARH,3.6154
HRH,0.7778
HRH,1.7778
HRH,3.6667
HRH,0.2222
HRH,3.2500
HRH,1.3333
HRH,1.6000
HRH,4.0000
ARH,7.1818
HRH,3.1111
HRH,1.8889
HRH,2.7778
ARH,4.6667
ARH,7.2500
HRH,2.3333
HRH,8.1333
ARH,10.5000
ARH,11.7778
HRH,5.1111
ARH,11.7143
ARH,7.3333
ARH,7.1818
ARH,3.7059
HRH,4.2222
HRH,1.0000
HRH,4.5714
ARH,6.3000
ARH,6.3333
ARH,4.6667
ARH,6.0000
ARH,5.2222
HRH,1.0000
HRH,1.8750
HRA,4.4444
HRA,3.0000
HRH,2.3333
HRH,1.5556
ARH,10.0000
ARH,13.4118
ARH,38.0952
ARH,5.7143
ARH,30.3158
ARH,11.9375
ARH,32.7647
HRH,1.8750
HRH,1.5556
HRH,1.8750
HRH,1.5556
ARH,14.2857
HRH,3.0500
HRH,2.1364
HRH,5.8462
HRH,4.3000
HRH,0.0667
HRH,1.7778
HRH,0.5882
HRH,0.5278
HRH,31.2857
HRH,1.1818
HRH,3.2857
HRH,0.5455
HRH,2.2000
ARH,35.0000
ARH,34.1429
ARH,18.0000
ARH,112.6667
ARH,39.1000
ARH,30.2000
ARH,26.3636
ARH,20.2222
ARH,35.0952
ARH,25.4000
HRH,3.1429
HRH,3.1429
HRH,4.7143
HRH,3.5000
HRH,0.6667
HRH,2.4444
HRH,2.5714
HRH,2.3333
HRH,2.3333
HRH,2.8889
HRH,2.1250
HRH,3.8333
HRH,2.2500
HRH,1.2500
HRH,0.8750
HRH,2.1111
HRH,0.8889
HRH,0.5556
HRH,3.0000
HRH,0.5000
HRH,1.1111
ARH,79.0000
HRH,0.5556
HRH,0.8889
HRH,43.0000
HRH,8.0000
HRH,2.2500
ARH,98.2000
ARH,66.0000
ARH,162.5000
HRH,4.5000
HRH,1.5556
HRH,3.2222
HRH,6.3750
HRH,0.8889
HRH,0.4444
HRH,0.5556
HRH,0.2222
HRH,0.1111
HRH,0.3333
HRH,1.1429
HRH,2.0000
HRH,1.1111
ARH,58.6667
ARH,40.4444
ARH,42.3846
ARH,147.4000
ARH,47.6667
ARH,27.3043
ARH,43.8462
ARH,9.6000
ARH,29.0000
ARH,49.5000
HRH,1.7000
HRH,3.2857
HRH,5.1250
HRH,3.4000
HRH,2.2222
ARH,48.5556
ARH,50.1250
ARH,41.7000
ARH,67.3000
ARH,44.4167
ARH,23.7000
ARH,44.0000
ARH,27.7857
ARH,26.2000
ARH,35.8182
ARH,24.1053
ARH,18.7143
ARH,10.1053
ARH,32.9091
ARH,33.1111
ARH,20.6667
ARH,31.6667
ARH,50.8889
ARH,13.6667
ARH,20.3000
ARH,33.6667
ARH,22.8333
HRH,2.4444
ARH,26.6000
ARH,6.2500
HRH,1.2727
HRH,9.6667
ARH,32.7188
HRH,4.2222
HRH,4.4286
HRH,5.7778
HRH,0.3929
HRH,0.0714
ARH,31.5000
ARH,115.5000
ARH,26.5833
ARH,21.6667
ARH,53.5556
ARH,22.5000
ARH,25.5000
ARH,22.6923
HRH,15.0000
ARH,67.2500
ARH,18.6667
ARH,15.9655
ARH,32.1429
ARH,35.8750
ARH,34.7500
ARH,15.8889
HRH,1.8462
HRH,5.3333
HRH,2.3889
HRH,1.2500
HRH,11.2500
ARH,33.4444
ARH,20.5556
ARH,30.5000
ARH,34.3750
HRH,3.1250
HRH,2.4444
HRH,4.0000
ARH,40.3333
HRH,4.3333
ARH,32.2500
ARH,31.0000
ARH,15.0000
ARH,63.4444
ARH,27.7000
ARH,20.7500
ARH,22.5000
ARH,55.5000
HRH,3.2222
HRH,2.5556
HRH,1.8182
HRH,3.2143
HRH,4.8182
HRH,3.2667
HRH,4.1000
HRH,1.4545
ARH,34.5333
ARH,18.4364
HRH,7.1429
HRH,0.5714
HRH,6.9000
HRH,0.2000
HRH,6.0000
ARH,9.0000
ARH,31.1579
ARH,31.1250
ARH,18.0000
HRH,4.5000
ARH,45.3750
ARH,72.7500
ARH,65.0000
ARH,61.2000
HRH,7.3333
HRH,2.0000
HRH,2.5000
ARH,36.5833
HRH,0.4348
HRH,5.2500
HRH,2.0833
ARH,49.1429
ARH,76.3333
ARH,30.4762
ARH,57.6000
ARH,15.7143
ARH,8.0000
ARH,35.2778
ARH,43.6667
ARH,51.4444
ARH,40.1000
ARH,31.7143
ARH,30.7857
HRH,6.8750
HRH,3.5000
HRH,5.7778
HRH,8.0000
ARH,53.8333
ARH,35.7500
ARH,60.9091
HRH,3.2500
HRH,3.2500
ARH,69.0000
ARH,8.6667
HRH,13.6875
ARH,28.0000
HRH,4.8000
HRH,90.7143
HRH,2.6250
HRH,5.9231
