repo,pr_id,thread_id,path,review_category,language,old_is_applied,old_similarity,old_before_similarity,old_matched_commit,old_commit_lines,final_is_applied,final_similarity,final_before_similarity,final_commit_sha,final_commit_lines,final_commit_added_lines,aggregated_lines_total,deduplicated_lines_total,status_changed,change_type,similarity_diff,sug_startline,sug_LOC
APSIMInitiative/ApsimX,10650,2471353280,APSIM.Core/ModelRegistry/ModelRegistry.cs,ARH,cs,True,1.0000,0.8750,81335a2,14-14,True,0.9797,0.9022,81335a2,14-14,3,72,61,NO,CONFIRMED_STABLE,-0.0203,14,1
APSIMInitiative/ApsimX,10655,2450331193,Models/Functions/FrostHeatDamageFunctions.cs,ARH,cs,True,1.0000,0.5000,f69f458,228-228,True,0.8737,0.7520,f69f458,228-228,1,64,59,NO,CONFIRMED_DIFFERENT_SCORE,-0.1263,228,1
APSIMInitiative/ApsimX,10675,2467799104,ApsimNG/Utility/Excel.cs,ARH,cs,True,0.6207,0.5385,c81f1f4,33-40,True,0.7918,0.6609,c81f1f4,35-40,10,64,60,NO,CONFIRMED_DIFFERENT_SCORE,0.1711,33,8
APSIMInitiative/ApsimX,10675,2467799112,ApsimNG/Utility/Excel.cs,ARH,cs,True,1.0000,0.7500,c81f1f4,43-43,True,0.9186,0.8784,c81f1f4,43-43,10,64,60,NO,CONFIRMED_STABLE,-0.0814,37,1
Adyen/adyen-web,3449,2300958052,packages/e2e-playwright/automated-a11y.config.ts,ARH,ts,True,1.0000,0.7500,ec86abe,74-74,True,0.9532,0.8443,ec86abe,74-74,1,2,1,NO,CONFIRMED_STABLE,-0.0468,74,1
Adyen/adyen-web,3449,2300958062,packages/e2e-playwright/playwright.config.ts,ARH,ts,True,1.0000,0.7500,d77ed26,83-83,True,0.9532,0.8443,d77ed26,83-83,1,2,1,NO,CONFIRMED_STABLE,-0.0468,83,1
Adyen/adyen-web,3473,2304925285,.github/scripts/deprecate-releases.js,ARH,js,True,1.0000,0.0000,510036d,108-108,True,0.9333,1.0000,703dc39,108-108,12,153,141,NO,CONFIRMED_STABLE,-0.0667,108,1
Adyen/adyen-web,3475,2307106967,packages/lib/src/components/internal/FormFields/Fieldset/Fieldset.tsx,ARH,tsx,True,1.0000,0.3750,6144dda,19-19,True,0.9848,0.6703,8532e36,19-19,1,6,5,NO,CONFIRMED_STABLE,-0.0152,19,1
Adyen/adyen-web,3499,2325801348,packages/lib/src/components/internal/Address/components/AddressSearch.tsx,ARH,tsx,True,1.0000,0.1250,3c1d770,20-20,True,0.9556,0.3283,3c1d770,20-20,1,4,3,NO,CONFIRMED_STABLE,-0.0444,20,1
Adyen/adyen-web,3548,2394413638,packages/lib/src/components/Card/constants.ts,ARH,ts,True,1.0000,0.6000,43d4a04,1-1,True,1.0000,0.8126,43d4a04,1-1,1,2,1,NO,CONFIRMED_STABLE,0.0000,1,1
Adyen/adyen-web,3587,2432587997,packages/lib/src/components/PayByBankPix/stories/mocks.ts,ARH,ts,True,1.0000,0.3333,ed2d2df,137-137,True,0.6936,0.6403,01a34c8,137-137,4,16,4,NO,CONFIRMED_DIFFERENT_SCORE,-0.3064,137,1
Adyen/adyen-web,3587,2432588021,packages/lib/src/components/Dropin/stories/dropin/StoredPayByBankPix.stories.tsx,ARH,tsx,True,1.0000,0.3333,ed2d2df,94-94,True,0.6780,0.6455,01a34c8,94-94,2,10,2,NO,CONFIRMED_DIFFERENT_SCORE,-0.3220,94,1
Adyen/adyen-web,3587,2432588031,packages/lib/src/components/Dropin/stories/dropin/StoredPayByBankPix.stories.tsx,ARH,tsx,True,1.0000,0.3333,ed2d2df,94-94,True,0.6780,0.6455,01a34c8,94-94,2,10,2,NO,CONFIRMED_DIFFERENT_SCORE,-0.3220,124,1
Adyen/adyen-web,3587,2432588034,packages/lib/src/components/PayByBankPix/stories/mocks.ts,ARH,ts,True,1.0000,0.6667,ed2d2df,134-134,True,0.8434,0.7751,01a34c8,134-134,4,16,4,NO,CONFIRMED_DIFFERENT_SCORE,-0.1566,134,1
Adyen/adyen-web,3589,2439034387,packages/lib/src/core/core.ts,ARH,ts,True,1.0000,0.1667,0f547db,273-273,True,0.9514,0.4690,b80d7ef,273-273,1,27,10,NO,CONFIRMED_STABLE,-0.0486,273,1
Adyen/adyen-web,3622,2493790628,packages/lib/src/components/Card/stories/Card.stories.tsx,ARH,tsx,True,0.6250,0.6250,4aee31c,207-207,True,0.8021,0.8339,7d58790,207-207,1,44,42,NO,CONFIRMED_DIFFERENT_SCORE,0.1771,207,1
Adyen/adyen-web,3622,2493790637,packages/lib/src/components/Card/stories/Card.stories.tsx,ARH,tsx,True,1.0000,0.3333,7d58790,221-221,True,0.8667,0.6733,7d58790,221-221,1,44,42,NO,CONFIRMED_DIFFERENT_SCORE,-0.1333,221,1
Adyen/adyen-web,3624,2494601675,packages/e2e-playwright/tests/e2e/card/bcmc/dualBranding.spec.ts,ARH,ts,True,1.0000,1.0000,09a460c,25-25,True,1.0000,0.8859,1a55938,25-25,1,136,117,NO,CONFIRMED_STABLE,0.0000,16,1
Agoric/agoric-sdk,11553,2182927450,packages/fast-usdc-deploy/src/fast-usdc-update.build.js,HRH,js,True,1.0000,0.1111,4b3dbaf,73-73,True,0.9833,0.5319,4b3dbaf,73-73,7,28,20,NO,CONFIRMED_STABLE,-0.0167,73,1
Agoric/agoric-sdk,11559,2183027529,multichain-testing/scripts/ymax-tool.ts,HRH,ts,True,1.0000,0.4167,fb8d842,155-157,True,0.9861,0.7655,fb8d842,155-157,12,102,91,NO,CONFIRMED_STABLE,-0.0139,149,3
Agoric/agoric-sdk,11855,2310669407,services/ymax-planner/src/watchers/cctp-watcher.ts,ARH,ts,True,1.0000,0.6364,6f107c9,3-3,True,1.0000,0.7814,6f107c9,3-3,2,7,7,NO,CONFIRMED_STABLE,0.0000,3,1
Agoric/agoric-sdk,11857,2311684477,packages/internal/test/debug-demo.test.js,ARH,js,True,1.0000,0.8571,60079bf,9-9,True,0.9388,0.9388,08d18ca,9-9,7,91,69,NO,CONFIRMED_STABLE,-0.0612,9,1
Agoric/agoric-sdk,11946,2356797851,packages/portfolio-contract/test/portfolio.flows.test.ts,HRH,ts,True,0.5000,0.5000,cae4ac1,1022-1025,True,0.6615,0.5979,cae4ac1,1019-1023,187,187,187,NO,CONFIRMED_DIFFERENT_SCORE,0.1615,983,4
Agoric/agoric-sdk,11946,2356824144,packages/portfolio-contract/test/portfolio.flows.test.ts,HRH,ts,True,0.6486,0.4848,cae4ac1,1089-1094,True,0.6949,0.6079,cae4ac1,1087-1094,187,187,187,NO,CONFIRMED_STABLE,0.0463,1003,6
Agoric/agoric-sdk,11946,2356891162,packages/portfolio-contract/src/portfolio.exo.ts,HRH,ts,True,1.0000,0.6667,f783425,471-471,True,0.9625,0.8303,f783425,471-471,10,19,19,NO,CONFIRMED_STABLE,-0.0375,451,1
Agoric/agoric-sdk,11964,2373495486,packages/portfolio-contract/src/pos.exo.ts,HRH,ts,True,1.0000,0.8000,d7ac7c2,71-71,True,0.9923,0.8847,d7ac7c2,71-71,1,43,35,NO,CONFIRMED_STABLE,-0.0077,71,1
Agoric/agoric-sdk,11967,2384690816,services/ymax-planner/src/resolver.ts,HRH,ts,True,1.0000,0.1538,10bc4e3,34-34,False,0.3050,0.2890,5f7423c,20-20,41,161,78,YES,FALSE_POSITIVE,-0.6950,34,1
Agoric/agoric-sdk,12016,2386559349,packages/portfolio-contract/src/portfolio.exo.ts,ARH,ts,True,1.0000,1.0000,84f1565,675-675,True,0.8759,1.0000,84f1565,675-675,69,69,69,NO,CONFIRMED_DIFFERENT_SCORE,-0.1241,684,1
Altinn/altinn-studio,14516,2071372267,frontend/packages/shared/src/types/ComponentSpecificConfig.ts,HRH,ts,True,1.0000,0.2000,31c68f5,52-52,True,0.9872,0.8000,31c68f5,52-52,4,22,18,NO,CONFIRMED_STABLE,-0.0128,52,1
