repo,pr_number,thread_id,pr_author,pr_created_at,comment_count,turn_type,review_category,turn_sequence_roles,comment_sequence,max_gap_hours,first_response_hours,agent_suggestion_present,mentioned_files,linked_commits,linked_commit_windows,pr_merged,pr_merge_timestamp,pr_closed_at
APSIMInitiative/ApsimX,10359,2350649765,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350649765,2025-09-16T03:51:52+00:00,created)->Human(HamishBrownPFR,2353585381,2025-09-16T20:30:30+00:00,created)",16.644,526.248,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350651673,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350651673,2025-09-16T03:52:37+00:00,created)->Human(HamishBrownPFR,2353588947,2025-09-16T20:32:03+00:00,created)",16.657,526.261,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350665342,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350665342,2025-09-16T03:57:37+00:00,created)->Human(HamishBrownPFR,2353613593,2025-09-16T20:44:05+00:00,created)",16.774,526.344,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350666503,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,1,single-turn,Human_Review_Human,H(PR)->H,"Human(par456,2350666503,2025-09-16T03:58:16+00:00,created)",,526.355,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350668324,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,1,single-turn,Human_Review_Human,H(PR)->H,"Human(par456,2350668324,2025-09-16T03:58:55+00:00,created)",,526.366,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350673740,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350673740,2025-09-16T04:00:54+00:00,created)->Human(HamishBrownPFR,2353615731,2025-09-16T20:45:13+00:00,created)",16.739,526.399,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350677653,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350677653,2025-09-16T04:02:22+00:00,created)->Human(HamishBrownPFR,2353622380,2025-09-16T20:49:03+00:00,created)",16.778,526.423,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350685277,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350685277,2025-09-16T04:05:55+00:00,created)->Human(HamishBrownPFR,2353625034,2025-09-16T20:50:29+00:00,created)",16.743,526.482,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350686658,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350686658,2025-09-16T04:06:32+00:00,created)->Human(HamishBrownPFR,2353680601,2025-09-16T21:17:33+00:00,created)",17.184,526.493,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350690233,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350690233,2025-09-16T04:08:33+00:00,created)->Human(HamishBrownPFR,2353680853,2025-09-16T21:17:44+00:00,created)",17.153,526.526,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10363,2299353677,Human(BrianCollinss),2025-08-25T12:59:28+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2299353677,2025-08-25T23:30:32+00:00,created)",,10.518,true,,,,true,2025-09-24T04:03:33Z,2025-09-24T04:03:33+00:00
APSIMInitiative/ApsimX,10363,2299353691,Human(BrianCollinss),2025-08-25T12:59:28+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2299353691,2025-08-25T23:30:32+00:00,created)",,10.518,true,,,,true,2025-09-24T04:03:33Z,2025-09-24T04:03:33+00:00
APSIMInitiative/ApsimX,10363,2299353697,Human(BrianCollinss),2025-08-25T12:59:28+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2299353697,2025-08-25T23:30:33+00:00,created)",,10.518,false,,,,true,2025-09-24T04:03:33Z,2025-09-24T04:03:33+00:00
APSIMInitiative/ApsimX,10363,2317434616,Human(BrianCollinss),2025-08-25T12:59:28+00:00,1,single-turn,Human_Review_Human,H(PR)->H,"Human(hut104,2317434616,2025-09-02T23:49:39+00:00,created)",,202.836,false,,,,true,2025-09-24T04:03:33Z,2025-09-24T04:03:33+00:00
APSIMInitiative/ApsimX,10363,2317436589,Human(BrianCollinss),2025-08-25T12:59:28+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(hut104,2317436589,2025-09-02T23:51:40+00:00,created)->Human(BrianCollinss,2317540124,2025-09-03T01:26:12+00:00,created)",1.576,202.870,false,,,,true,2025-09-24T04:03:33Z,2025-09-24T04:03:33+00:00
APSIMInitiative/ApsimX,10363,2317441257,Human(BrianCollinss),2025-08-25T12:59:28+00:00,1,single-turn,Human_Review_Human,H(PR)->H,"Human(hut104,2317441257,2025-09-02T23:56:49+00:00,created)",,202.956,false,,,,true,2025-09-24T04:03:33Z,2025-09-24T04:03:33+00:00
APSIMInitiative/ApsimX,10363,2357361497,Human(BrianCollinss),2025-08-25T12:59:28+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2357361497,2025-09-18T02:34:52+00:00,created)",,565.590,true,,,,true,2025-09-24T04:03:33Z,2025-09-24T04:03:33+00:00
APSIMInitiative/ApsimX,10365,2299819973,Human(ric394),2025-08-26T02:25:30+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2299819973,2025-08-26T05:26:27+00:00,created)",,3.016,true,,,,true,2025-08-28T05:23:12Z,2025-08-28T05:23:12+00:00
